Group,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Image,Description,Address,Latitude,Longitude,Found Address,Match Quality,Source
kantoor,building,orange,white,,DHL International B.V.,,73,Van Baerlestraat 114 AMSTERDAM,52.3554655,4.8802048,Van Baerlestraat 114 1071 BC Amsterdam Netherlands,Match,Google
kantoor,warehouse,lightblue,white,,DHL Global Forwarding (Netherlands) B.V.,,137,Vliegveldweg 36 MAASTRICHT-AIRPORT,50.9214571,5.774021,Vliegveldweg 36 6199 AD Maastricht-Airport Netherlands,Match,Google
kantoor,building,lightblue,white,,DHL Global Forwarding (Netherlands) B.V.,,238,Shannonweg 35 SCHIPHOL,52.2903602,4.7660317,Shannonweg 35 1118 LA Schiphol Netherlands,Match,Google
kantoor,warehouse,blue,white,,DHL Supply Chain (Netherlands) B.V.,,390,Babberichseweg 2 ZEVENAAR,51.9216978,6.0840798,Babberichseweg 2 6901 JW Zevenaar Netherlands,Match,Google
kantoor,building,gray,white,,DHL Freight (Netherlands) B.V.,,420,Shannonweg 39 SCHIPHOL,52.2898747,4.7654479,Shannonweg 39 1118 Schiphol Netherlands,Match,Google
kantoor,building,blue,white,,DHL Supply Chain (Netherlands) B.V.,,533,Pascalweg 8 ZWOLLE,52.5001178,6.1318338,Pascalweg 8 8013 RC Zwolle Netherlands,Match,Google
kantoor,warehouse,lightblue,white,,DHL Global Forwarding (Netherlands) B.V.,,642,Vliegveldweg 337 ENSCHEDE,52.2631637,6.8950905,Vliegveldweg 337 7524 PT Enschede Netherlands,Match,Google
dc,warehouse,lightblue,white,,DHL Global Forwarding (Netherlands) B.V.,,1183,Ridderhaven 5 RIDDERKERK,51.8783997,4.6243914,Ridderhaven 5 2984 BT Ridderkerk Netherlands,Match,Google
dc,warehouse,orange,white,,DHL International B.V.,,1495,Tufsteen 8 HOOFDDORP,52.3060853,4.6907041,Hoofddorp Netherlands,Partial Match,Google
dc,warehouse,red,white,,DHL Parcel (Netherlands) B.V.,,1516,Kellenseweg 16 TIEL,51.9060074,5.4416441,Kellenseweg 16 4004 JD Tiel Netherlands,Match,Google
dc,warehouse,orange,white,,DHL International B.V.,,1551,Antillen 19 APELDOORN,52.1830663,5.9776433,Antillen 19 7333 PE Apeldoorn Netherlands,Match,Google
dc,warehouse,orange,white,,DHL International B.V.,,1884,Engelandlaan 7 MAASTRICHT-AIRPORT,50.9187916,5.7892167,Engelandlaan 6199 Maastricht-Airport Netherlands,Match,Google
dc,warehouse,lightblue,white,,DHL Global Forwarding (Netherlands) B.V.,,2411,Siriusdreef 17 - 27 HOOFDDORP,52.2922644,4.7103503,Siriusdreef 17-27 2132 WT Hoofddorp Netherlands,Match,Google
dc,warehouse,lightblue,white,,DHL Global Forwarding (Netherlands) B.V.,,2637,Kaldenkerkerweg 20 VENLO,51.3638244,6.1746054,Kaldenkerkerweg 20 5913 AE Venlo Netherlands,Match,Google
dc,warehouse,orange,white,,DHL International B.V.,,2770,Jan Hilgersweg 12 EINDHOVEN,51.452139,5.3927542,Jan Hilgersweg 12 5657 ES Eindhoven Netherlands,Match,Google
dc,warehouse,orange,white,,DHL International B.V.,,2881,De Heldinnenlaan 205 UTRECHT,52.1200518,5.0265391,De Heldinnenlaan 205 3543 MB Utrecht Netherlands,Match,Google
